76,0,76,76,212.889,24.9003,185,257,194.938,12.9103,158,233,342.16,22.6375,295,428,206.938,15.4906,166,267,545.444,55.8103,319,738,1926.02,185.272,1078,2220,2413.59,223.784,1347,2717,2577.46,172.299,1696,3050,2224.41,805.61,926,3164,973.556,128.526,598,1264,384.926,57.7429,237,533,2684.25,295.963,1516,3181,0,0,0,0,4,0,4,4,0,0,0,0,2411.58,310.599,1910,3157,0.851152,0.00884402,0.821697,0.868063,
76,0,76,76,163.033,6.04383,156,170,173.529,16.0907,121,238,308.033,22.9184,265,386,189.612,15.3361,151,254,518.248,26.7499,457,594,1826.47,83.5754,1660,2048,2306.81,97.0249,2155,2577,2452.93,156.249,2030,2844,2652.74,47.4673,2495,2740,997.826,51.5338,908,1136,395.24,32.1916,351,488,2638.06,105.328,2438,2880,0,0,0,0,4,0,4,4,0,0,0,0,2004.05,77.8759,1907,2235,0.856309,0.0103104,0.822262,0.879798,
76,0,76,76,209.358,24.3748,192,264,207.247,14.8037,181,257,358.21,28.3465,315,496,231.951,14.6413,204,285,601.457,34.0073,482,687,1852.9,148.115,1547,2194,2312.91,199.705,1958,2711,2477.23,218.583,2156,3240,2680.17,235.346,2236,3074,1288.04,67.163,1087,1447,526.815,31.3302,414,603,2672.84,187.742,2184,3095,0,0,0,0,4,0,4,4,0,0,0,0,1978.86,118.548,1735,2248,0.828096,0.0120872,0.805947,0.862595,
76,0,76,76,191.496,22.2811,172,234,183.512,18.492,111,229,310.207,36.4852,161,412,207.496,26.6542,113,271,525.248,53.3768,360,635,1594.93,124.307,1291,1839,1981.05,152.82,1634,2299,2148.61,236.694,1230,2728,2381.54,93.9969,2343,2778,1144.92,113.56,843,1357,470.595,53.4679,340,587,2356.19,166.303,1987,2711,0,0,0,0,4,0,4,4,0,0,0,0,1936.11,88.9451,1714,2101,0.823453,0.0177506,0.779016,0.876509,
76,0,76,76,167.222,8.50853,154,181,169.605,14.5676,131,208,279.642,24.1023,174,318,174.531,16.4595,122,207,444.123,46.1028,299,494,1688.74,156.104,1305,1917,2148.91,226.487,1476,2522,2346.99,257.899,1438,2754,2361.11,413.602,1963,3070,936.358,107.89,632,1155,351.333,36.9758,248,430,2491.6,259.538,1683,2905,0,0,0,0,4,0,4,4,0,0,0,0,2090.12,152.848,1633,2421,0.860778,0.0127564,0.813361,0.88559,
76,0,76,76,179.889,8.65954,164,187,187.123,16.9526,153,227,336.049,27.2808,281,406,217.938,22.2152,180,272,559.21,36.4044,492,656,1825.4,109.547,1516,1959,2259.35,147.856,1826,2511,2422.79,190.492,1772,2762,2647.67,97.8059,2466,2711,1142.36,81.5931,977,1372,459.988,41.9013,367,578,2624.49,125.69,2317,2805,0,0,0,0,4,0,4,4,0,0,0,0,1978.27,76.8564,1828,2104,0.834256,0.0191093,0.780645,0.869455,
76,0,76,76,189,11.3737,179,204,215.32,19.9994,177,262,361.6,37.8883,302,477,256.96,28.2354,206,328,612.44,57.9179,558,739,1664.48,164.093,1527,2008,2031.16,206.927,1835,2474,2216.8,253.294,1964,2980,2472.2,90.6638,2382,2581,1445.56,83.9,1359,1609,635.36,38.1857,593,709,2407.76,242.833,2173,2904,0,0,0,0,4,0,4,4,0,0,0,0,1802.76,90.6665,1662,1993,0.791832,0.0141447,0.767082,0.819298,
76,0,76,76,176.281,33.8817,151,313,174.174,17.4056,141,223,303.438,29.6848,244,415,182.876,16.682,139,236,497.455,40.1724,348,607,1791.76,164.541,1304,2067,2272.56,212.346,1621,2655,2429.88,201.592,1868,2913,2379.76,529.205,774,2888,948.81,98.6631,589,1156,366.364,39.0158,233,450,2548.78,261.386,1622,3015,0,0,0,0,4,0,4,4,0,0,0,0,2191.98,281.521,1813,2669,0.859702,0.0109475,0.829278,0.89033,
75.9917,0.0905327,75,76,186.496,19.1428,165,224,193.025,16.4626,155,237,337.645,25.8658,269,397,188.711,13.7411,155,227,567.835,28.4522,520,624,2224.21,121.571,1968,2399,2793.99,147.832,2532,3085,2928.34,211.408,2356,3426,2923.79,488.165,1898,3416,1140.63,59.5235,972,1227,465.628,27.1342,377,518,3090.25,159.732,2726,3401,0,0,0,0,4,0,4,4,0,0,0,0,2146.58,190.583,1942,2613,0.878745,0.00677531,0.8561,0.894522,
71,0,71,71,187.877,48.8531,149,305,189.556,16.0539,146,219,337.432,31.9409,273,454,197.877,18.0311,143,243,553.765,48.0456,485,736,2005.28,124.954,1835,2498,2515.31,142.941,2282,3089,2619.74,157.75,2264,3002,2549.38,684.56,1332,3146,1012.49,72.2754,891,1217,405.827,36.2589,352,508,2818.73,130.738,2566,3189,0,0,0,0,4,0,4,4,0,0,0,0,2253.54,111.557,2073,2509,0.859435,0.0114643,0.824242,0.886508,
76,0,76,76,175.84,14.5291,164,196,171,14.7784,142,200,297.88,15.2298,267,321,189.12,11.0501,166,210,498.28,14.8203,469,513,1720.24,58.5254,1546,1832,2150.32,67.9904,1952,2241,2300.64,109.095,2084,2504,2390.6,360.895,2109,3442,1033.84,22.2147,1000,1071,400.04,12.3304,385,428,2521.12,79.9001,2280,2691,0,0,0,0,4,0,4,4,0,0,0,0,2091,76.5574,1882,2232,0.847987,0.00778185,0.831346,0.861551,
